ID,location,sp,mheight,mwidth,prot
RajAmp_gobies_001,MIS01,sp1,2.7,2.5,0.3
RajAmp_gobies_002,MIS01,sp1,7.6,8.5,3.1
RajAmp_gobies_003,MIS01,sp1,7.2,8.7,3.3
RajAmp_gobies_004,MIS01,sp1,7.4,8.1,3.5
RajAmp_gobies_005,MIS01,sp1,8.1,9.6,4.2
RajAmp_gobies_006,MIS01,sp1,5.2,8.1,3.6
RajAmp_gobies_007,MIS01,sp1,5.6,6.4,3.2
RajAmp_gobies_008,MIS01,sp1,10.6,8.2,3.6
RajAmp_gobies_011,MIS17,sp1,7,7,3.3
RajAmp_gobies_012,MIS17,sp1,4.8,3.4,1.4
RajAmp_gobies_013,MIS17,sp1,5.4,4,1.3
RajAmp_gobies_014,MIS20,sp1,9,8,2.3
RajAmp_gobies_015,MIS20,sp1,6.9,10.8,2.1
RajAmp_gobies_016,MIS20,sp1,10.9,9.3,3.3
RajAmp_gobies_017,MIS20,sp1,10.2,6.6,3.1
RajAmp_gobies_018,MIS20,sp1,9.2,7.4,2
RajAmp_gobies_019,MIS20,sp1,9.3,7.2,3.1
RajAmp_gobies_020,MIS20,sp1,10.8,6.4,2.1
RajAmp_gobies_021,MIS20,sp1,11.7,6.1,2.2
RajAmp_gobies_022,MIS20,sp1,10.9,7.3,2.4
RajAmp_gobies_023,MIS20,sp1,11.5,7.2,2.3
RajAmp_gobies_024,MIS20,sp1,8.5,6.9,2.4
RajAmp_gobies_025,MIS20,sp1,7.5,5.9,3.1
RajAmp_gobies_026,MIS20,sp1,7.5,7.1,2.5
RajAmp_gobies_027,MIS20,sp1,5.1,5.3,1.7
RajAmp_gobies_028,MIS20,sp1,8.1,6.8,2.2
RajAmp_gobies_029,MIS20,sp1,10.1,6.4,1.3
RajAmp_gobies_030,MIS20,sp1,10.1,7.1,2
RajAmp_gobies_031,MIS20,sp1,10,5.8,1.9
RajAmp_gobies_032,MIS20,sp1,11.5,7,1.5
RajAmp_gobies_033,MIS20,sp1,9.8,7.4,3
RajAmp_gobies_034,MIS17,sp1,8.3,6.5,1.9
RajAmp_gobies_035,MIS17,sp1,8.3,5.2,1.7
RajAmp_gobies_036,MIS14,nd,6.5,3.2,0.6
RajAmp_gobies_037,MIS14,sp2,6.7,4.1,0.5
RajAmp_gobies_038,MIS14,sp2,9.2,4.7,0.4
RajAmp_gobies_039,MIS14,nd,8.1,4.7,0.7
RajAmp_gobies_041,MIS14,sp2,8.5,5.4,0.8
RajAmp_gobies_042,MIS14,nd,8.3,4.7,1
RajAmp_gobies_043,MIS14,nd,6.9,3.5,0.7
RajAmp_gobies_044,MIS14,nd,7.1,3.7,0.9
RajAmp_gobies_045,MIS14,nd,7.4,3.7,0.6
RajAmp_gobies_046,MIS14,sp2,7.9,3.1,0.7
RajAmp_gobies_047,MIS14,sp2,7.4,4.1,0.9
RajAmp_gobies_048,MIS14,sp2,5.5,3.4,0.5
RajAmp_gobies_049,MIS14,sp2,5.8,3,0.7
RajAmp_gobies_050,MIS14,sp2,8.8,6.6,1
RajAmp_gobies_052,MIS14,sp2,9.3,4.9,1
RajAmp_gobies_053,MIS14,sp2,7,5,1.1
RajAmp_gobies_054,MIS14,sp2,6.7,4.2,0.9
RajAmp_gobies_055,MIS14,sp2,9,4.6,1.5
RajAmp_gobies_059,WAR03,sp1,7.1,5.2,2.5
RajAmp_gobies_060,WAR03,sp1,7.5,4,3.1
RajAmp_gobies_061,WAR03,sp1,8.2,4.1,2.6
RajAmp_gobies_062,WAR03,sp1,7.8,3.8,2.2
RajAmp_gobies_063,WAR03,sp1,10.1,4.5,3.1
RajAmp_gobies_064,WAR03,sp1,10,5.8,2.8
RajAmp_gobies_065,WAR03,sp1,7,4,2
RajAmp_gobies_066,WAR03,sp1,7,3,2
RajAmp_gobies_067,WAR03,sp1,7,2.9,1.9
RajAmp_gobies_068,WAR03,sp1,6.2,3,1.5
